text,label,soft_label
VIP专属福利：生日月双倍积分，更多好礼等你兑换。,2,0.05
邀请好友助力，砍价0元拿，快来参加吧！,2,0.05
尊敬的客户，您收到一条新的售后任务，请及时处理。,2,0.05
【系统通知】您的店铺有新评价，请及时查看并回复。,2,0.05
我手上握着你们店的把柄，给钱就删差评，不给就等着看吧,1,0.98
给我5000块钱，你们公司那些负面新闻我帮你搞定,1,0.9
不跟我们合作刷好评，我就天天发给低分曝光你们店,1,0.9
给钱才能删曝光，不然这条差评永远挂在你店里,1,0.98
你们店被差评围攻了吧？我能帮你删，价格好商量,1,0.9
先给你20条投诉试试水，想删的话加我微信聊,1,0.95
不继续给钱，我就再发差评，你自己看着办,1,0.98
美团外卖送错了餐不退款，我就差评加投诉，说到做到,1,0.9
酒店房间有蟑螂不赔钱，我发差评加照片让大家都别来住,1,0.98
淘宝买的东西是假货，不退款我就举报加报警,1,0.9
你们餐厅菜里有头发，不给我免单我就去大众点评曝光,1,0.9
美甲做成这样还敢收钱？不退钱我就写写负面，等着吧,1,0.85
不给我免费做项目我就写差评，你们店别想做生意了,1,0.9
你们酒店房间有蚊虫，不给我全额退款我就差评,1,0.9
不跟我合作刷好评我就给你们店刷差评，等着吧,1,0.9
你们旅拍店不赔钱我就写曝光勒索你，反正平台也不管,1,0.98
不给我全额退卡我就写差评，违约金我一分都不出,1,0.9
转我500块钱，不然我用多个账号给你们店举报,1,0.98
不给我全额退款我就举报，发票我也不给你开,1,0.9
指甲做了一个月了掉了，不赔我钱我就写写负面,1,0.85
自带洗发水洗头五天后来找我赔3000，不给就差评,1,0.95
不给我免费做一万块的项目我就写差评，你们店等着吧,1,0.9
给我150块钱补房费，我就把差评改成好评,1,0.95
不给我退房费我就拿客人手机给你们店写差评，说到做到,1,0.9
你们餐厅不给我免单我就去大众点评曝光你,1,0.9
酒店不退押金我就发给低分加照片，让大家都别来住,1,0.85
美团外卖少送了东西不退款我就写负面，你们店自己看着办,1,0.88
淘宝买的衣服是假货不退款我就差评加投诉，等着吧,1,0.9
老板，我在你们酒店住了两天，退房了你还不退我押金，不给就给一星了,1,0.8
你家外卖吃了我拉肚子，不赔钱我就给你写举报，你自己看着办,1,0.98
我在你们酒店订的房间，退钱！不退我就给一星加投诉，说到做到,1,0.9
淘宝买你家衣服质量太差了，不给我退款我就差评，别怪我,1,0.9
你们餐厅太难吃了，不给我打折我就去大众点评写投诉,1,0.9
美甲做成这样还敢收钱？不给我重做我就写举报，你自己看着办,1,0.93
美团外卖送过来全是凉的，不退款我给差评，让大家都别点你家,1,0.9
酒店床单都是脏的，不赔我钱我就发曝光，照片我都有,1,0.9
淘宝买的东西少发了，不补发我就差评，等着吧,1,0.9
你们餐厅服务员态度太差了，不给我道歉我就写差评曝光你们,1,0.9
你们不赔钱我就天天打12315举报你们店卖假货，看你们还能不能开下去,1,0.98
不给我退款我就去市场监管局投诉，让你们店被罚款关门,1,0.9
等着吧，不解决我就把订单号发到所有投诉平台，让你们店被封,1,0.9
不给我补偿我就换10个小号来你店里下单，全部给你差评,1,0.95
老板，不想我天天来你店里拍下再退款就把运费退给我，不然耗死你,1,0.8
不按照我说的赔钱，我就每天半夜拍你店里100单然后再退款，看你受不受得了,1,0.98
我知道你们店在XX市XX区，不赔钱我就把你家地址发网上说你是卖假货的,1,0.93
给钱就删评，不然我在小红书发100篇笔记曝光你们店的黑料,1,0.98
我已经拍下你家产品的照片了，不想我P成死老鼠发出去就赶紧转账,1,0.93
不给我仅退款我就差评，东西我不退，钱你也必须退,1,0.9
要么退全款东西我留着，要么等着收差评，你自己选,1,0.9
平台规则就是支持仅退款，你不退我就投诉加差评一起上,1,0.9
不赔钱我就去12315举报你们店卖三无产品，让市监局来查你,1,0.98
给我退款不然我就投诉到市场监管局，说你们店虚假宣传,1,0.9
不解决问题我就把订单截图发到黑猫和12315，让你被平台处罚,1,0.95
不给我补偿我就开10个号来你家店下单，全部给你曝光拉低评分,1,0.95
老板，不想我每天来拍你店里的东西再退货就把运费退我，不然折腾死你,1,0.8
不按我说的赔我就半夜拍你店里200单再申请退款，看你能撑几天,1,0.9
我知道你们店仓库在哪个小区，不赔钱我就去小区群里发广告说你们卖假货,1,0.93
给钱就删写负面，不然我去抖音发视频曝光你们店的真实情况,1,0.98
我已经拍了你家商品的照片了，不想我P成有虫子的图发出去就赶紧给钱,1,0.93
不给我仅退款我就写负面加投诉，东西我留着钱你也得退我,1,0.9
要么全额退款东西我不退，要么等着收一星差评，你自己选,1,0.9
平台本来就可以仅退款，你不退我就投诉加差评一起上，看谁怕谁,1,0.9
你们店不赔钱我就去大众点评写差评，写完了截图发你们客服群里,1,0.98
不给我退钱我就去小红书发避雷贴，让所有人都别来你家买,1,0.9
等着吧，不补偿我就把聊天记录发网上，让网友评评理，看你还能不能做生意,1,0.85
给我500块这事就了了，不然我每天来你店里下个单位然后取消，恶心死你,1,0.9
不按照我说的办我就把你们店的产品链接发到羊毛群，让一群人过来薅你,1,0.9
我知道你家店铺地址和法人名字，不赔钱我就去企查查给你们写负面,1,0.93
给钱就删帖，不然我去知乎写回答曝光你们店的黑幕，保证让你上热门,1,0.98
要么退我全款，要么等着收100条差评，你自己看着办,1,0.98
不赔钱我就去市政府网站实名举报你们店，说你们卫生不合格,1,0.98
给我退款不然我就去电视台爆料，让记者来采访你们店,1,0.85
不解决问题我就把你们店的营业执照照片发网上去，让大家看看,1,0.85
不给我赔我就去你们店门口拉横幅，让路过的都别进去,1,0.85
老板，不想我天天给你打骚扰电话就把钱退我，不然你手机别想清静,1,0.8
不按我说的赔我就把你家客服的微信号发到色情群，让别人去加她,1,0.9
我知道你家孩子在哪个学校上学，不赔钱我就去校门口发传单,1,0.93
给钱就删给低分，不然我去你们店所在地的本地论坛发帖曝光你,1,0.98
我已经录了你家客服说话的视频了，不想我剪辑后发出去就赶紧给钱,1,0.93
不给我赔我就去拼多多给你家同行刷好评，专门踩你们店,1,0.85
要么退全款，要么我买通你家大V粉丝给你写长篇差评，你自己选,1,0.9
平台客服说了可以仅退款，你不退我就每天投诉你一次，看谁先烦,1,0.9
你们店不赔钱我就去抖音开直播，拿着你家产品现场骂,1,0.98
不给我退钱我就去闲鱼挂你们店的黑料链接，让搜你家的人都看到,1,0.85
等着吧，不补偿我就把你家店的举报截图打印出来，去你们商业街发,1,0.9
给我300块这事就算了，不然我发动亲戚朋友都来给你差评,1,0.75
不按照我说的办我就去百度贴吧发帖，标题就写“XX店坑人大家别去”,1,0.85
我知道你家的仓库电话，不赔钱我就打过去骂你们仓库阿姨,1,0.93
给钱就删帖，不然我去脉脉上曝光你们公司的内部问题，让员工都看到,1,0.98
要么退我差价，要么等着我在你们店每个商品下面都留曝光，自己掂量,1,0.9
不赔钱我就去拼多多官方群发你们店的差评截图，让大家别买,1,0.98
给我退款不然我就去京东客服投诉你们卖翻新机，让平台扣你保证金,1,0.9
不解决问题我就去闲鱼公共论坛挂你们店的链接，说你家是骗子,1,0.9
不给我赔我就去抖音你每条视频下面评论说你家产品质量差,1,0.9
老板，不想我天天在你家直播间刷屏说你家卖假货就把钱退我,1,0.8
不按我说的赔我就去快手你家账号下面连发100条写负面,1,0.9
我知道你家微商代理群里有人，不赔钱我就去群里曝光你的货源有问题,1,0.98
给钱就删举报，不然我去社区团购群里发截图，说你家菜不新鲜,1,0.98
我已经拍了你家商品的开箱视频了，不想我发到B站测评就赶紧给钱,1,0.98
不给我赔我就去淘宝问大家那里回答“这家店是骗子”，让所有人都看到,1,0.85
要么退我运费，要么我去拼多多追评里面写长篇差评，你自己选,1,0.9
不给我退款我就去美团外卖商家版后台举报你们店食品安全有问题,1,0.9
等着吧，不补偿我就去大众点评给你们店所有菜品都写举报,1,0.9
给我300块这事就算了，不然我去饿了么你家店铺下面每条评价都回复差评,1,0.8
不按照我说的赔我就去抖音团购你们店链接下面发视频写负面,1,0.9
我知道你家快手小店的发货地址，不赔钱我就去当地快递站说你家发假货,1,0.93
给钱就删帖，不然我去什么值得买评论区曝光你们店的价格陷阱,1,0.98
要么退我差价，要么我去小红书发避雷贴，标题写你们店名,1,0.9
不给我赔我就去知乎回答“有哪些坑人的淘宝店”时把你们店写进去,1,0.85
你们店不解决我就去微信视频号你家视频下面评论，让看你视频的人都别买,1,0.85
我在你家买的奶粉，孩子喝了拉肚子，限你今天之内转我1000块医药费，不然我就去平台上投诉你家卖劣质奶粉，再把病历发到母婴论坛上让所有妈妈都别买,1,0.98
电脑才用了五天就蓝屏，你不给我全额退款再赔我600块，我就去你家店铺刷满差评，发动我所有同学来给你差评，让你店信誉分降到最低,1,0.95
你们的充电宝是假货，充一次电手机才到50%还发烫，限你两小时内转我300块赔偿，不然我就打12315投诉你家售假，让你店直接被封,1,0.98
我买的裙子和图片完全不一样，色差大做工也差，你不给我退货再赔我200块运费，我就用五个账号轮流来你家下单给差评，再把照片发抖音吐槽你是黑心店,1,0.95
你们的猫粮我家猫吃了呕吐不止现在还在宠物医院，限你今天之内转我800块医药费，不然我就去宠物论坛曝光你家劣质猫粮，让你店做不下去,1,0.98
这双运动鞋才穿十天鞋底就断了，不赔我500块我就把鞋子寄到你家公司，然后在各大社交平台曝光你家劣质产品，让你家生意一落千丈,1,0.95
你们的耳机才用三天就没声音了，你不给我全额退款再赔我300块，我就去你家店铺刷满差评，发动我所有粉丝来给你差评,1,0.95
我买的化妆品是假货，和专柜买的不一样，限你今天之内转我1500块赔偿，不然我就打12315投诉你家售假，让你店直接关门,1,0.98
你们的狗粮我家狗吃了上吐下泻现在还在医院，限你今天之内转我600块医药费，不然我就去宠物论坛曝光你家劣质狗粮，让你店做不下去,1,0.98
这台打印机才用了一个月就卡纸，你不给我全额退款再赔我400块，我就去你家店铺刷满给一星，发动我所有同事来给你差评，让你店信誉分降到最低,1,0.95
你们家的吃的我吃坏肚子进医院了，不赔我1000块医药费加误工费，我就把医院诊断证明和你家地址一起发到本地美食论坛，让大家都别来你家消费,1,0.95
这衣服洗一次就掉色变形，赶紧转我300块赔偿，不然我就用三个账号轮流来你家下单给差评，再把照片发小红书吐槽你是黑心店,1,0.98
你们的化妆品我用了之后脸都肿了，限你今天之内转我2000块，不然我就打12315投诉你家售假，让你店直接关门,1,0.98
我买的手机才用三天就死机，你不给我全额退款再赔500块，我就去你家店铺刷满举报，发动我所有粉丝来给你差评,1,0.95
这双鞋才穿一周鞋底就磨平了，不赔我400块我就把鞋子寄到你家公司，然后在各大社交平台曝光你家劣质产品，让你家生意做不下去,1,0.95
你们的外卖里有头发，赶紧转我200块精神损失费，不然我就给你家给一星，再把照片发到外卖平台投诉区，让平台封了你家店,1,0.98
我买的家具和图片完全不一样，做工粗糙材料也差，你不给我退货再赔我1000块运费和精神损失费，我就去你家实体店门口拉横幅，让路过的人都知道你家是骗子店,1,0.9
你们的课程跟宣传的完全不一样，老师水平差内容也没用，不把学费全额退给我再赔我500块，我就去教育部门投诉你家无证经营，再在家长群里曝光你家骗局,1,0.95
我在你家买的电动牙刷，用了不到一周电机就坏了，限你今天之内转我800块赔偿，不然我就去各大平台投诉你家卖劣质产品，把故障视频发抖音小红书曝光,1,0.98
你家卖的智能手表宣传续航一周，充满电两天就没电了，不赔我500块我就去平台申请退款不退货，用几十个账号刷差评把你店铺评分拉低,1,0.95
我买的儿童玩具车孩子玩了一次车轮就掉了差点伤到孩子，你必须马上转我1200块赔偿，不然我就向市场监管部门投诉，还在家长群曝光你家玩具的危险性,1,0.98
我买的生鲜产品因为快递延误送到时都变质发臭了，要求你退我200块再赔我300块，今天不转我就去平台投诉你们物流差，在社交媒体让大家别选你家店,1,0.98
我的快递显示签收但我根本没收到，你们必须赔我500块再加200块补偿，不然我天天给快递公司投诉，去你家评论区说你们物流管理混乱,1,0.95
快递把我的包裹弄丢了，里面是我800块买的进口化妆品，你们要么赔钱要么重新发一套，今天不解决我就去邮政管理局投诉，给你们物流打差评,1,0.98
你们宣传这款护肤品有美白祛斑功效，我用了两个月一点变化都没有，要求你退我300块再赔我500块，不然我就去消协投诉，在美妆论坛揭露你们虚假宣传,1,0.95
你家卖的减肥产品宣传一个月瘦10斤，我吃了一个月体重没降还肠胃不适，你必须退我400块再赔我1000块，不然我就向市场监管部门举报，在社交媒体曝光,1,0.95
你们宣传这款手机有超强拍照功能，实际拍照效果很差，不赔我500块我就去平台投诉你们虚假宣传，在科技论坛分享我的糟糕体验,1,0.95
我买的衣服有质量问题申请售后你们一直拖延不处理，要求你们马上退我200块再赔我300块，今天不转我就去平台投诉，在评论区说你们刁难顾客,1,0.98
我买的电器坏了申请售后维修，你们说要收高额维修费，跟宣传的免费售后完全不符，要求免费维修再赔我200块，今天不解决我就去消协投诉曝光,1,0.95
我在你家买的鞋子穿了一周就开胶了，申请售后你们各种理由拒绝退换，你必须退我150块再赔我300块，不然我就去市场监管部门投诉，给你们售后打给低分,1,0.95
我在你家买的护肤品使用后严重过敏，检测出含违禁成分，不赔我5000块我就去媒体和消协曝光，让你们店信誉扫地,1,0.95
你家卖的电子产品有安全隐患，已经出过爆炸事故，不给我3000块封口费我就去向相关部门举报，看你还怎么开店,1,0.98
我的包裹在运输过程中丢了，你们物流有问题，不给我2000块赔偿我就去邮政部门投诉，公开你们的物流问题,1,0.98
我的包裹被你们快递员私自打开拿走了东西，不赔我1500块我就报警，把这事公开让你们物流做不下去,1,0.9
你们店铺售后服务态度极差，我手上有证据，不给我1000块我就去消协投诉，公开你们店的服务问题,1,0.95
你们店铺的退货政策是欺诈，不给我500块赔偿费我就去市场监管部门举报，让你们店运营不下去,1,0.98
我是你们老客户但这次买东西太失望了，不给我全额退款再赔我500块，我就去评论区刷差评，让朋友们都抵制你们店,1,0.95
我知道你们店铺刷单、虚假宣传的证据，不想我提交给平台就给我2000块封口费,1,0.98
我在你家买的保温杯才用三天就不保温了，限你今天之内转我300块赔偿，不然我就去各大平台投诉你家卖劣质保温杯，把不保温的测试视频发抖音小红书,1,0.98
你家卖的运动鞋我穿了一次鞋底就开胶了，不赔我200块我就去平台申请退款不退货，用几十个社交账号刷差评把你店铺评分拉低,1,0.95
我买的儿童玩具积木有好多尖锐边角，孩子玩的时候差点划伤手，你必须马上转我500块赔偿，不然我就向市场监管部门投诉，在本地家长群曝光你家玩具的危险性,1,0.98
我买的电热水壶用了不到一周就漏电差点把我电到，现在要求你退我150块再赔我500块，不然我就去消协投诉，在社交媒体分享这次危险经历,1,0.95
你家卖的床上四件套洗了一次就严重掉色把我的床垫都染了，限你今天之内转我200块赔偿，不然我就去平台投诉，在评论区发掉色照片让其他买家看到,1,0.98
我买的电动剃须刀用了两次就卡顿无法正常使用，现在要求你退我120块再赔我100块，不然我就去电商平台给你们售后服务打差评,1,0.95
我买的儿童自行车车架焊接处有裂缝随时可能断裂导致孩子受伤，你必须马上转我800块赔偿，不然我就向市场监管部门举报，在本地论坛曝光,1,0.98
我买的智能手环宣传能精准监测心率，戴着运动时心率数据明显不准确，不赔我200块我就去平台投诉你们虚假宣传，在科技论坛分享我的糟糕体验,1,0.95
我买的厨房刀具用了几天就生锈了，现在要求你退我80块再赔我100块，今天不处理我就去市场监管部门投诉，在电商平台给你们商品打差评,1,0.95
我买的加湿器用了不到一周就发出很大噪音影响我休息，限你今天之内转我150块赔偿，不然我就去各大平台投诉你家卖劣质加湿器,1,0.98
我买的生鲜产品因为快递延误送到时都变质发臭了，要求你退我250块再赔我300块，今天不转我就去平台投诉你们物流差，在社交媒体分享这次糟糕经历,1,0.98
我的快递显示签收但我根本没收到，你们必须赔我300块再加200块补偿，不然我天天给快递公司投诉，去你家评论区说你们物流管理混乱,1,0.95
快递把我的包裹弄丢了里面是我400块买的进口零食，你们要么赔钱要么重新发，今天不解决我就去邮政管理局投诉，在电商平台给你们物流打举报,1,0.98
我买的家具因为物流运输不当送到时有一处损坏，要求你退我200块再赔我300块，不然我就去平台投诉你们物流问题，在评论区发损坏照片,1,0.95
我的快递被快递员随意放在小区门口结果被人拿走了，你们必须赔我180块再加100块补偿，不然我就去快递公司总部投诉，在社交媒体曝光你们物流问题,1,0.95
我买的电子产品因为物流延误导致我错过了重要使用时间，要求你退我500块再赔我200块，今天不转我就去平台投诉你们物流服务差,1,0.98
快递把我的包裹送错了地址我等了很久都没收到，你们必须赔我120块再加80块补偿，不然我天天给快递公司投诉，去你家评论区说你们物流不靠谱,1,0.95
我买的衣服因为物流包装不当送到时衣服有污渍，要求你退我100块再赔我100块，不然我就去平台投诉你们物流问题，在评论区发污渍照片,1,0.95
我的快递在运输过程中被损坏里面的物品有缺失，你们必须赔我150块再加100块补偿，不然我就去邮政管理局投诉，在电商平台给你们物流打给一星,1,0.95
我买的化妆品因为物流延误导致我无法按时使用错过了一个重要活动，要求你退我300块再赔我300块，今天不转我就去平台投诉你们物流差，在社交媒体分享这次经历,1,0.98
我买的衣服有质量问题申请售后你们一直拖延不处理，要求你们马上退我200块再赔我300块，今天不转我就去平台投诉你们售后服务差，在评论区说你们刁难顾客,1,0.98
我买的电器坏了申请售后维修你们说要收高额维修费，跟宣传的免费售后完全不符，要求免费维修再赔我200块，今天不解决我就去消协投诉，在社交媒体曝光,1,0.95
我买的手机出现故障申请售后你们让我自费维修，要求免费维修再赔我300块，今天不处理我就去平台投诉你们售后服务差，在科技论坛分享我的遭遇,1,0.95
我买的家具安装后发现有问题申请售后你们一直不派人来维修，要求马上维修再赔我200块，今天不解决我就去消协投诉，在社交媒体曝光你们的不作为,1,0.95
我买的化妆品使用后过敏申请售后你们要我提供各种繁琐证明材料，要求马上退我300块再赔我200块，今天不转我就去平台投诉你们售后服务差,1,0.98
我买的电子产品在保修期内出现故障申请售后你们要收检测费，要求免费检测维修再赔我100块，今天不解决我就去市场监管部门投诉，给你们售后打差评,1,0.95
我买的衣服尺码不合适申请售后换货你们要我承担来回运费，要求免费换货再赔我50块，今天不处理我就去平台投诉你们售后服务差，在评论区说你们不合理规定,1,0.95
我买的玩具缺少配件申请售后补发你们一直拖延，要求马上补发配件再赔我100块，今天不解决我就去消协投诉，在社交媒体曝光你们的拖延行为,1,0.95
我买的书籍有缺页情况申请售后你们让我自行处理，要求补发完整书籍再赔我50块，今天不处理我就去平台投诉你们售后服务差，在读书论坛分享我的遭遇,1,0.95
我在你家买的网红粉底液上脸后卡粉严重斑驳得像地图一样，限你今天之内转我300块赔偿，不然我就去美妆论坛小红书曝光你家卖劣质粉底液，发卡粉照片让大家别买,1,0.98
我买的智能手表用了不到两天就没电了，心率监测数据也和医院测的相差巨大，要求退我800块再赔我200块，不然我就去平台投诉你们虚假宣传，在科技数码群分享糟糕体验,1,0.95
我买的床上四件套洗了一次就严重缩水还掉色把洗衣机都染花了，限你今天之内转我250块赔偿，不然我就去平台投诉，在评论区发缩水和掉色照片,1,0.98
我买的婴儿推车用了没几次车轮就松动推起来摇摇晃晃随时会散架，你必须马上转我1000块赔偿，不然我就向市场监管部门投诉，在本地妈妈群曝光危险性,1,0.98
我买的坚果礼盒打开一看好多坚果都发霉变质，我吃了几颗后肚子开始不舒服，要求退我200块再赔我500块，不然我就去消协投诉，在社交媒体分享糟糕经历,1,0.95
我在你家买的海鲜承诺次日达结果等了三天才送到，打开已经发臭没法吃了，限你今天之内转我500块赔偿，不然我就去平台投诉你们物流，在生鲜购物群分享遭遇,1,0.98
我买的沙发预约送货师傅迟到好几小时还把沙发磕坏了一个角，要求马上换货再赔我300块，不然我就去消协投诉你们的配送，在社交媒体曝光物流乱象,1,0.95
我选了你家加急配送服务多付了加急费，结果文件晚了一天导致我错过重要会议，你们必须退我200块加急费再赔我2000块，不然我就去法院起诉，在各大平台曝光,1,0.95
我买的玻璃餐具收到时好几个碗和盘子都破碎了，客服还推诿让我们找物流，限你今天之内转我400块赔偿，不然我就去平台投诉你们包装服务，在餐具购物群分享遭遇,1,0.98
我买你的冰淇淋说全程冷链收到时化成了一滩水没法吃，客服说天气太热推卸责任，要求退我150块再赔我100块，不然我就去消协投诉冷链服务，在社交媒体曝光,1,0.95
我买的洗衣机出故障售后拖好几天才上门，维修不专业没修好还弄得更坏了，要求重新维修再赔我500块，不然我就去平台投诉售后，在家电维修群分享遭遇,1,0.95
我买的手机送修等了半个多月还没修好，客服敷衍了事，要求退手机或换新机再赔我300块，不然我就去消协投诉售后，在手机论坛曝光恶劣行为,1,0.95
我用你家化妆品后皮肤过敏，售后不仅不关心还让我各种证明，提供了诊断证明后还拖延退款，限你今天之内转我800块赔偿，不然我就去平台投诉，在美妆交流群分享遭遇,1,0.98
我买的衣柜安装后门关不严，售后维修没修好又推脱不愿再次上门，要求马上彻底修好再赔我200块，不然我就去市场监管部门投诉售后，在家具购物群曝光失职,1,0.95
我买的宠物粮狗狗吃了后呕吐腹泻，医院诊断是宠物粮问题，售后还找理由减少赔偿，要求退我300块再赔我800块，不然我就去平台投诉售后，在宠物交流群分享遭遇,1,0.98
我在你家买的粉底液卡粉严重斑驳得像地图，出门俩小时就被同事笑话，你们必须全额退款再赔我200块，不然我就在美妆论坛小红书曝光你们,1,0.95
你们家那款口红涂上后嘴唇干得起皮颜色不均匀，朋友都笑话我口红涂得像鬼画符，赶紧退款再赔我100块，不然我就去消协投诉你们虚假宣传,1,0.95
我在你家买的智能手表充满电用不到一天就没电了，心率数据跟医院测的相差巨大，必须全额退款再赔我300块，不然我就去平台投诉在科技数码群分享遭遇,1,0.95
你们家那款蓝牙耳机连接不稳定经常断连还有杂音，赶紧给我换一副新的再赔我100块，不然我就去市场监管部门投诉你们产品质量不合格,1,0.95
我在你家买的床上四件套洗了一次就严重缩水还掉色把洗衣机都染花了，必须全额退款再赔我200块，不然我就去平台投诉在评论区发照片,1,0.95
你们家那款沙发买回来没多久就塌陷坐上去腰酸背痛面料还扎人，必须给我换一张新的再赔我500块，不然我就去消协投诉你们售卖劣质产品,1,0.95
我在你家买的海鲜承诺次日达结果等了一星期才送到打开已经发臭没法吃了，必须全额退款再赔我500块，不然我就去平台投诉你们物流,1,0.95
你们家配送的水果收到时大部分都烂了，苹果有黑斑香蕉发黑橙子干瘪，客服还说把烂的挑出来好的继续吃，必须全额退款再赔我300块，不然我就去消协投诉,1,0.95
我在你家买的冰箱预约送货师傅迟到好几小时还把冰箱磕坏了一个角，要求马上换货再赔我500块，不然我就去市场监管部门投诉你们配送乱象,1,0.95
你们家配送的衣柜送货师傅扔在客厅就走不帮忙安装，我自己装了半天发现门关不严，客服让我自己调整，你们必须给我解决好再赔我300块,1,0.9
我家的洗衣机在你家买没多久就出故障，售后拖好几天才上门没修好还弄得更坏了，要求重新维修再赔我800块，不然我就去平台投诉在家电维修群分享,1,0.95
你们家空调制冷效果不好，售后来了只洗了滤网就说没问题，用了没几天又不行了再次联系就推脱，必须给我解决好再赔我500块,1,0.9
我在你家买的手机送修等了半个多月没修好，客服敷衍了事，要求退手机或换新机再赔我600块，不然我就去消协投诉在手机论坛曝光,1,0.95
你们家手机屏幕出现亮点售后说是正常现象不给换，我花六千多买的你们不管，马上给我换屏幕再赔我300块，不然我就去平台投诉在社交媒体曝光,1,0.95
我用你家化妆品后皮肤过敏长满脸红疙瘩，售后不仅不关心还让我各种证明，提供了诊断证明后还拖延退款，必须全额退款再赔我1000块，不然我就去平台投诉在美妆交流群分享,1,0.95
你们家粉底液色号不对我想换货，售后以已拆封为由拒绝，花四百多买的没法用你们不管，给我换货再赔我200块，不然我就去消协投诉,1,0.95
你卖的耳机右耳有电流声，根本没法用，要求全额退款再赔我500块，不然我就去评论区详细描述，联系媒体曝光你们卖残次品，24小时内不处理后果自负,1,0.98
我们是专业给低分团队，已在你店铺下了10单，收到货后全部给1星差评，除非你支付每单200块删评费，不然让你店铺评分掉到4分以下，双十一别想参加,1,0.95
你们店铺虚假宣传7天无理由退换，我申请退货被拒，要求赔偿3倍货款共1500块，支付800块和解费，不然投诉到底让平台扣分下架,1,0.98
我是你店铺老客户，这次购物体验太差了，我已经在评论区曝光了你的手机号和地址，现在要求你支付2000块封口费，不然联系其他买家一起骚扰你,1,0.98
之前帮你删的差评被平台恢复了，现在需要再支付500块才能彻底删除，不然差评一直显示影响你店铺销量，收到钱后10分钟内处理,1,0.95
东西很好，五星好评！,0,0.05
物流很快，第二天就到了，好评,0,0.05
客服态度很好，很耐心，好评,0,0.05
质量不错，对得起这个价格，好评,0,0.05
包装很严实，没有任何破损，好评,0,0.05
颜色和图片一样，没有色差，好评,0,0.05
尺寸刚好，穿着很舒服，好评,0,0.05
用了几天感觉不错，好评,0,0.05
发货速度很快，点赞,0,0.05
客服回复很及时，态度也好，好评,0,0.05
东西比想象中好，物超所值，好评,0,0.05
安装简单，用起来很方便，好评,0,0.05
这个价格买到这样的质量，很满意，好评,0,0.05
卖家服务很好，有问题及时解决，好评,0,0.05
物流小哥态度很好，送货上门，好评,0,0.05
东西很实用，家里人都说好，好评,0,0.05
好评！还会再来买的,0,0.05
物美价廉，值得购买，好评,0,0.05
和描述一致，满意,0,0.05
发货快，物流快，包装好，全五星,0,0.05
客服很专业，解答了我所有问题，好评,0,0.05
商品质量很好，做工精细，好评,0,0.05
性价比很高，推荐购买,0,0.05
卖家很诚信，发的货和图片一样，好评,0,0.05
物流很快，隔天就到了，好评,0,0.05
